insert time in msek,insert size,dbsize in triples
137.8922462463379,1001,1500000
270.8704471588135,2001,1500000
406.13842010498047,3001,1500000
528.5556316375732,4001,1500000
658.4553718566895,5001,1500000
809.3888759613037,6001,1500000
906.2924385070801,7001,1500000
1036.8528366088867,8001,1500000
3.8590431213378906,1,1510000
137.49241828918457,1001,1510000
258.30960273742676,2001,1510000
414.12353515625,3001,1510000
514.3346786499023,4001,1510000
640.0046348571777,5001,1510000
771.8236446380615,6001,1510000
923.5391616821289,7001,1510000
1014.6472454071045,8001,1510000
3.654003143310547,1,1520000
135.6031894683838,1001,1520000
267.77076721191406,2001,1520000
400.7437229156494,3001,1520000
554.7502040863037,4001,1520000
659.3942642211914,5001,1520000
778.6684036254883,6001,1520000
933.2034587860107,7001,1520000
1046.1163520812988,8001,1520000
3.729104995727539,1,1530000
134.63234901428223,1001,1530000
264.16468620300293,2001,1530000
395.2505588531494,3001,1530000
529.0524959564209,4001,1530000
682.6736927032471,5001,1530000
780.8752059936523,6001,1530000
900.6049633026123,7001,1530000
1067.0461654663086,8001,1530000
3.6935806274414062,1,1540000
138.30232620239258,1001,1540000
269.4077491760254,2001,1540000
398.47612380981445,3001,1540000
530.1485061645508,4001,1540000
658.7789058685303,5001,1540000
810.1716041564941,6001,1540000
909.2328548431396,7001,1540000
1040.1036739349365,8001,1540000
3.9758682250976562,1,1550000
133.38613510131836,1001,1550000
259.80067253112793,2001,1550000
422.38807678222656,3001,1550000
517.5509452819824,4001,1550000
646.9607353210449,5001,1550000
775.4623889923096,6001,1550000
942.6369667053223,7001,1550000
1036.0188484191895,8001,1550000
3.754854202270508,1,1560000
137.30978965759277,1001,1560000
266.33763313293457,2001,1560000
398.73218536376953,3001,1560000
527.4126529693604,4001,1560000
671.5989112854004,5001,1560000
792.6573753356934,6001,1560000
903.4249782562256,7001,1560000
1050.8065223693848,8001,1560000
4.028558731079102,1,1570000
138.11540603637695,1001,1570000
268.8488960266113,2001,1570000
401.58581733703613,3001,1570000
527.0602703094482,4001,1570000
646.4378833770752,5001,1570000
809.2947006225586,6001,1570000
895.1447010040283,7001,1570000
1032.5877666473389,8001,1570000
3.7124156951904297,1,1580000
136.20638847351074,1001,1580000
296.80848121643066,2001,1580000
396.47626876831055,3001,1580000
525.2315998077393,4001,1580000
659.4607830047607,5001,1580000
781.9483280181885,6001,1580000
916.9735908508301,7001,1580000
1034.5804691314697,8001,1580000
3.843069076538086,1,1590000
136.67535781860352,1001,1590000
263.4150981903076,2001,1590000
417.21034049987793,3001,1590000
526.2539386749268,4001,1590000
657.0231914520264,5001,1590000
767.899751663208,6001,1590000
925.0710010528564,7001,1590000
1021.5449333190918,8001,1590000
3.5347938537597656,1,1600000
134.10067558288574,1001,1600000
263.5338306427002,2001,1600000
391.6747570037842,3001,1600000
521.7046737670898,4001,1600000
670.4607009887695,5001,1600000
784.7506999969482,6001,1600000
903.9351940155029,7001,1600000
1053.9119243621826,8001,1600000
3.8743019104003906,1,1610000
135.10537147521973,1001,1610000
264.03284072875977,2001,1610000
398.6990451812744,3001,1610000
523.5772132873535,4001,1610000
650.2046585083008,5001,1610000
808.9163303375244,6001,1610000
899.3713855743408,7001,1610000
1049.609899520874,8001,1610000
3.698110580444336,1,1620000
136.84535026550293,1001,1620000
265.5069828033447,2001,1620000
396.284818649292,3001,1620000
522.8598117828369,4001,1620000
647.402286529541,5001,1620000
786.318302154541,6001,1620000
932.8718185424805,7001,1620000
1044.6679592132568,8001,1620000
3.778219223022461,1,1630000
136.74163818359375,1001,1630000
263.3476257324219,2001,1630000
418.80011558532715,3001,1630000
