generation time in msek,dbsize in triples
2720.168352127075,3250000
2668.05100440979,3260000
2812.030076980591,3270000
2707.874059677124,3280000
2655.945301055908,3290000
2749.3135929107666,3300000
2768.378257751465,3310000
2726.280927658081,3320000
2798.6674308776855,3330000
2727.621555328369,3340000
2782.4931144714355,3350000
2769.747018814087,3360000
2838.4804725646973,3370000
2811.62428855896,3380000
2799.227714538574,3390000
2773.8895416259766,3400000
3106.2963008880615,3410000
2921.360731124878,3420000
2872.6134300231934,3430000
2828.9051055908203,3440000
2880.4771900177,3450000
2837.712526321411,3460000
2893.650770187378,3470000
2923.5455989837646,3480000
3035.599708557129,3490000
2888.380765914917,3500000
3156.0096740722656,3510000
2981.144905090332,3520000
3141.7901515960693,3530000
3047.633647918701,3540000
3411.358118057251,3550000
3506.373405456543,3560000
