dynamic time in msek,amount of triples inserted,generation time in msek,dbsize in triples
4295.760869979858,2001,7048.550128936768,1560000
3574.9335289001465,3001,2610.039710998535,1560000
95.31593322753906,1,5458.697080612183,1570000
2419.2898273468018,1001,3964.792490005493,1570000
11342.963695526123,2001,7528.516530990601,1570000
5359.801769256592,3001,3741.556167602539,1570000
148.57792854309082,1,5206.541061401367,1580000
4643.072128295898,1001,3446.133613586426,1580000
28715.961933135986,2001,2792.9983139038086,1580000
5247.575759887695,3001,2965.3751850128174,1580000
89.6151065826416,1,3530.3494930267334,1590000
866.0697937011719,1001,3569.772958755493,1590000
1672.0352172851562,2001,2647.113561630249,1590000
5672.5122928619385,3001,2865.4425144195557,1590000
165.62962532043457,1,3313.580274581909,1600000
2671.8366146087646,1001,4755.176544189453,1600000
1551.0845184326172,2001,2812.9372596740723,1600000
8234.679460525513,3001,2941.6239261627197,1600000
54.37803268432617,1,3352.1080017089844,1610000
4724.909067153931,1001,3230.403423309326,1610000
5160.692453384399,2001,2919.797897338867,1610000
5031.296730041504,3001,3033.599853515625,1610000
52.65450477600098,1,3196.772336959839,1620000
4333.262920379639,1001,10187.577486038208,1620000
2512.700319290161,2001,3403.9363861083984,1620000
5202.518939971924,3001,2650.933027267456,1620000
341.4654731750488,1,14133.05377960205,1630000
2843.764305114746,1001,2942.206859588623,1630000
4270.550489425659,2001,3084.415912628174,1630000
4105.323314666748,3001,2704.2853832244873,1630000
109.54880714416504,1,3767.7791118621826,1640000
6602.957487106323,1001,3023.2019424438477,1640000
1523.292064666748,2001,2810.8646869659424,1640000
5205.5344581604,3001,3493.3815002441406,1640000
80.30152320861816,1,2713.6788368225098,1650000
175.94385147094727,1001,3075.6921768188477,1650000
4256.126165390015,2001,2708.653688430786,1650000
1828.8471698760986,3001,2632.7645778656006,1650000
110.94450950622559,1,3066.560745239258,1660000
2506.2944889068604,1001,2902.1008014678955,1660000
4048.7515926361084,2001,4390.763998031616,1660000
2252.0713806152344,3001,2713.6685848236084,1660000
53.391456604003906,1,2514.191150665283,1670000
1006.9630146026611,1001,2574.5902061462402,1670000
15812.732934951782,2001,5993.565797805786,1670000
6439.292669296265,3001,2872.663974761963,1670000
108.37078094482422,1,12252.336263656616,1680000
5217.173099517822,1001,2841.928720474243,1680000
1291.7454242706299,2001,3286.2157821655273,1680000
11890.737771987915,3001,3872.854471206665,1680000
55.95850944519043,1,2600.7323265075684,1690000
2863.7242317199707,1001,3414.452314376831,1690000
5921.789646148682,2001,3828.0293941497803,1690000
1915.405511856079,3001,3172.253370285034,1690000
55.750131607055664,1,3019.6361541748047,1700000
2320.4987049102783,1001,2802.003860473633,1700000
4238.0523681640625,2001,4985.436677932739,1700000
4848.338842391968,3001,2882.304906845093,1700000
81.82835578918457,1,2940.037965774536,1710000
2435.13822555542,1001,4050.3039360046387,1710000
30871.597051620483,2001,2777.4064540863037,1710000
1641.988754272461,3001,2502.5885105133057,1710000
58.742523193359375,1,3026.20792388916,1720000
2841.421604156494,1001,2785.956859588623,1720000
3979.196071624756,2001,10246.322870254517,1720000
5148.779630661011,3001,26960.097551345825,1720000
72.95584678649902,1,3365.5831813812256,1730000
3499.0897178649902,1001,3190.9525394439697,1730000
2393.5415744781494,2001,4325.453758239746,1730000
16584.590196609497,3001,2844.5019721984863,1730000
